application_no,publication_no,registration_no,title,applicant,application_date,publication_date,registration_date,status,abstract,representative_claim,ipc,cpc,drawing_url,kipris_url,technology_group
"10-2015-0010101","10-2016-0090101","10-1700101","프리캐스트 콘크리트 중공기둥 및 그 접합구조","대한건설기술연구원","2015-01-22","2016-08-01","2017-03-15","등록","내부에 중공부가 형성된 프리캐스트 콘크리트 기둥과 상하부 기둥을 연결하는 접합구조에 관한 것이다. 중공부에 현장타설 콘크리트를 충전하여 일체화함으로써 접합부 강성을 확보하고 공기를 단축하는 효과가 있다.","내부에 길이방향 중공부가 형성된 프리캐스트 콘크리트 기둥 본체와 상기 중공부 하단에 배치되는 정착철근 및 상기 중공부에 충전되는 충전콘크리트를 포함하는 프리캐스트 중공기둥 접합구조.","E04B 1/21, E04C 3/34","E04B 1/21","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020150010101","접합부"
"10-2015-0023456","10-2016-0103456","","PC 기둥과 보의 건식 접합부 구조","한국피씨건설(주)","2015-03-10","2016-09-12","","소멸","프리캐스트 기둥과 보를 무용접 건식으로 접합하는 구조로서 강재 브래킷과 고장력 볼트를 이용하여 현장 작업을 최소화한다. 습식 작업 없이 조립이 가능하여 동절기 시공이 용이한 효과가 있다.","프리캐스트 기둥 측면에 매립된 강재 브래킷과 보 단부에 매립된 접합플레이트가 고장력 볼트로 체결되는 것을 특징으로 하는 PC 기둥-보 건식 접합부 구조.","E04B 1/24, E04B 1/58","E04B 1/24","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020150023456","접합부"
"10-2016-0034567","10-2017-0114567","10-1834567","전단키가 형성된 프리캐스트 더블월 및 그 시공방법","지피씨홀딩스(주)","2016-04-05","2017-10-20","2018-05-02","등록","마주보는 내외측 패널 사이에 중공부를 가지는 더블월의 접합면에 요철형 전단키를 형성하여 현장타설 콘크리트와의 합성거동을 향상시킨다. 전단키에 의해 수평전단 저항이 증가하여 벽체 일체성이 확보되는 효과가 있다.","내측 패널과 외측 패널 및 이를 연결하는 래티스 철근을 포함하고 패널 내면에 복수의 요철형 전단키가 형성된 것을 특징으로 하는 프리캐스트 더블월.","E04B 2/86, E04C 2/04","E04B 2/86","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020160034567","전단키"
"10-2016-0045678","10-2017-0125678","10-1845678","중공 PC 기둥 하부의 배수구조","대한건설기술연구원","2016-05-18","2017-11-08","2018-06-21","등록","중공기둥 내부로 유입된 우수나 양생수를 기둥 하부로 배출하기 위한 배수구조에 관한 것이다. 기둥 하단부에 경사 배수로와 배수공을 형성하여 중공부 내 체류수를 자연 배수함으로써 동결 파손과 철근 부식을 방지한다.","중공기둥 하단부에 중공부와 외부를 연통시키는 배수공이 형성되고 중공부 바닥면이 배수공을 향하여 하향 경사지게 형성된 것을 특징으로 하는 중공 PC 기둥의 배수구조.","E04C 3/34, E03F 5/04","E04C 3/34","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020160045678","배수"
"10-2016-0056789","10-2018-0136789","","프리캐스트 부재용 선매립 슬리브 및 그 고정장치","피씨테크놀로지(주)","2016-07-02","2018-01-15","","거절","프리캐스트 부재 제작 시 철근 연결용 슬리브를 정확한 위치에 선매립하기 위한 고정장치이다. 몰드 바닥판에 탈착 가능한 고정구를 두어 슬리브의 위치 오차를 줄이고 탈형 시 손상을 방지하는 효과가 있다.","몰드 내에 배치되는 철근연결용 슬리브와 상기 슬리브 하단을 몰드 바닥판에 고정하는 탈착식 고정구를 포함하는 프리캐스트 부재용 선매립 슬리브 고정장치.","E04C 5/16, B28B 23/00","E04C 5/16","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020160056789","생산방법"
"10-2017-0067890","10-2018-0147890","10-1967890","PC 더블월의 수직 접합부 방수구조","서울도시건설(주)","2017-02-14","2018-08-30","2019-02-11","등록","더블월 패널 간 수직 접합부에 지수재와 수팽창 실런트를 적용한 방수구조이다. 접합부 홈에 수팽창 지수재를 설치하고 외측에 실링재를 충전하여 지하수 침투를 차단하는 효과가 있다.","더블월 패널의 수직 접합면에 형성된 지수재 설치홈과 상기 홈에 배치되는 수팽창 지수재 및 외측 마감 실링재를 포함하는 더블월 수직 접합부 방수구조.","E04B 1/66, E02D 31/02","E04B 1/66","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020170067890","방수"
"10-2017-0078901","10-2018-0158901","10-2078901","프리캐스트 기둥 제작용 강재 몰드 및 탈형 방법","한국몰드엔지니어링(주)","2017-04-25","2018-10-12","2019-05-08","등록","프리캐스트 기둥을 수평 타설로 제작하기 위한 분할형 강재 몰드이다. 측판이 힌지로 개폐되어 탈형이 용이하고 반복 사용 시에도 치수 정밀도가 유지되는 효과가 있다.","바닥판과 힌지 결합되어 개폐되는 한 쌍의 측판 및 단부 마구리판을 포함하며 측판 개폐에 의해 탈형되는 것을 특징으로 하는 프리캐스트 기둥 제작용 강재 몰드.","B28B 7/00, B28B 7/16","B28B 7/0014","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020170078901","몰드"
"10-2017-0089012","10-2019-0169012","","중공 프리캐스트 기둥의 원심성형 제조방법","피씨테크놀로지(주)","2017-06-30","2019-01-04","","공개","원심성형 방식으로 중공 프리캐스트 기둥을 제조하는 방법이다. 몰드 회전에 의해 콘크리트가 외주면에 다져져 고강도 중공 단면을 형성하며 별도 내부 거푸집이 필요 없는 효과가 있다.","철근망이 배치된 원통형 몰드에 콘크리트를 투입하고 몰드를 회전시켜 중공부를 형성하는 단계를 포함하는 중공 프리캐스트 기둥의 원심성형 제조방법.","B28B 21/30, E04C 3/34","B28B 21/30","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020170089012","생산방법"
"10-2018-0090123","10-2019-0170123","10-2090123","전단연결재를 구비한 PC 합성보 접합구조","대형건설산업(주)","2018-01-09","2019-07-22","2020-01-30","등록","PC 보 상부에 전단연결재를 돌출시켜 현장타설 토핑콘크리트와 합성거동을 확보하는 접합구조이다. 스터드형 전단연결재 배치 간격을 최적화하여 수평전단 내력을 향상시키는 효과가 있다.","PC 보 상면에 길이방향으로 배치된 복수의 스터드형 전단연결재와 상기 전단연결재가 매입되는 토핑콘크리트를 포함하는 PC 합성보 접합구조.","E04B 5/23, E04C 3/29","E04B 5/23","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020180090123","전단키"
"10-2018-0101234","10-2019-0181234","10-2101234","PC 부재 접합부의 그라우트 충전 확인 장치","한국계측기술(주)","2018-03-15","2019-09-10","2020-04-17","등록","철근 연결용 슬리브 내 그라우트 충전 상태를 확인하는 장치이다. 슬리브 상단 배출구에 투명 확인관을 연결하여 그라우트 유출을 육안과 센서로 확인함으로써 충전 불량을 방지한다.","슬리브 배출구에 연결되는 투명 확인관과 상기 확인관 내 그라우트 도달을 감지하는 감지센서를 포함하는 그라우트 충전 확인 장치.","E04B 1/21, G01F 23/00","E04B 1/21","","http://kpat.kipris.or.kr/kpat/biblioa.do?applno=1020180101234","품질관리"
